mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
3,5,50.6,0.8,61.6,1.8,69.2,51.6,253,4,308,9,346,258
3,5,50.6,0.4,69.4,2.2,59.6,52.8,253,2,347,11,298,264
3,5,50.2,0.6,64.8,1.4,65.2,51.4,251,3,324,7,326,257
3,5,50.8,0.8,81.8,2.0,48.0,52.6,254,4,409,10,240,263
3,5,50.6,0.4,61.8,2.2,71.0,52.4,253,2,309,11,355,262
3,5,50.6,0.8,63.2,1.8,67.0,51.6,253,4,316,9,335,258
3,5,50.6,0.8,62.0,1.8,67.8,51.6,253,4,310,9,339,258
3,5,50.4,0.4,69.0,1.8,60.0,51.4,252,2,345,9,300,257
3,5,50.4,0.6,68.8,1.8,61.6,52.2,252,3,344,9,308,261
3,5,50.6,0.8,65.4,1.8,66.8,51.4,253,4,327,9,334,257
3,5,50.6,0.4,52.6,1.8,77.2,52.2,253,2,263,9,386,261
3,5,50.4,0.0,54.0,1.8,77.4,52.0,252,0,270,9,387,260
3,5,50.4,0.0,67.4,1.8,64.0,51.6,252,0,337,9,320,258
3,5,50.4,0.6,59.6,1.8,71.0,51.6,252,3,298,9,355,258
